Pleiades Name, Custom Name, English Name, Greek Name, Latin Name, Type, Time Period, Pleiades ID, Map Number, awmc_id, perseus_link, wikipedia_link, geometry
Caere,,Cisra,,Kaisra,"settlement, cemetery, temple, architecturalcomplex",ACHRLM,422859,,,,,"{""type"":""Point"",""coordinates"":[12.100184,42.006132]}"
Aegina (island),,Aegina,Î‘á_´Î_Î_Î_Î±,Oinone,island,ACHRLM,579844,,,,,"{""type"":""Point"",""coordinates"":[23.430141,37.7409397]}"
Corinthus/Korinthos,,Corinth,Î_ÏŒÏÅÎ_Î_Î¸Î¿Ï‚,Sicyonia,"settlement, amphitheatre, plaza",ACHRLM,570182,,,,,"{""type"":""Point"",""coordinates"":[22.879189,37.906033]}"
Cyrenaica,,Cyrenaica,Î_Ï…ÏÅÎ·Î_Î±Ï_ÎºÎ®,Cyrenaica,region,R,373777,,,,,"{""type"":""Point"",""coordinates"":[21.6178163432,32.5492926759]}"
Athenae,,Athens,á_ˆÎ¸á¿†Î_Î±Î_,Athenae,"theatre, plaza, cemetery, stoa, settlement, temple",ACHRRLEMLM,579885,,,,,"{""type"":""Point"",""coordinates"":[23.7239851818,37.9727465455]}"
Spina,,Spina,,Spina,"settlement, port",ACHR,393498,,,,,"{""type"":""Point"",""coordinates"":[12.108186,44.697575]}"
Ialysos,,Ialysos,,Ialysos,settlement,ACHRL,589815,,,,,"{""type"":""Point"",""coordinates"":[28.15629,36.41451]}"
Kydonia,,Kydonia,,Kydonia,settlement,ACHRL,589886,,,,,"{""type"":""Point"",""coordinates"":[24.01869,35.515775]}"
Etruria/Tuscia,,Tuscia,,Tuscia,region,ACHRL,413122,,,,,"{""type"":""Point"",""coordinates"":[11.8389117111,42.2278707333]}"
Naucratis,,Naucratis,,Naucratis,settlement,ACHRLM,727169,,,,,"{""type"":""Point"",""coordinates"":[30.592078,30.900306]}"
Clusium,,Clusium,,Clusium,settlement,ACHRLM,413096,,,,,"{""type"":""Point"",""coordinates"":[11.949059,43.015733]}"
Nola,,Nuvlana,,Nuvlana,settlement,ACHRL,432981,,,,,"{""type"":""Point"",""coordinates"":[14.520526,40.927771]}"
Gela,,Gela,,Gela,"wall, settlement",ACH,462214,,,,,"{""type"":""Point"",""coordinates"":[14.258722,37.063029]}"
Sicilia (island),,Sicilia,,Sicilia,island,ACHRLM,462492,,,,,"{""type"":""Point"",""coordinates"":[14.202599828,37.5642630225]}"
Halai,,Halai,,Halai,settlement,ACHRL,540800,,,,,"{""type"":""Point"",""coordinates"":[23.193751,38.653765]}"
