Vase Number, Decoration,Date,Technique,Provenance,Longitude,Latitude
89,BD: EUROPA ON THE BULL,,RED-FIGURE,,,
187,"A: HYPNOS AND THANATOS WITH THE BODY OF SARPEDON, HERMES, WARRIORS (ALL NAMED, LAODAMAS, HIPPOLYTOS), DEVICE, CHARIOT WHEEL | B: WARRIORS ARMING (NAMED, HYPEROCHOS, HIPPASOS, MEGON, AKASTOS, ACHSIPPOS), DEVICES, CRAB, LOBSTER",-550 to -500,RED-FIGURE,"ITALY, ETRURIA, CERVETERI, NEAR",12.100184,42.006132
417,"A,B: EROS WITH LYRE AND PHIALE | I: EUROPA ON THE BULL (NAMED ZEUS)",-500 to -450,RED-FIGURE,AEGINA,23.430141,37.7409397
1722,"EUROPA (?)(BULL, WOMAN)",,RED-FIGURE,CORINTH,22.879189,37.906033
1750,"EUROPA OR MAENAD ON BULL, WOMAN",-525 to -475,BLACK-FIGURE,,,
3282,BD: EUROPA OR MAENAD ON BULL,-525 to -475,BLACK-FIGURE,,,
5816,"A: EUROPA OR MAENAD ON BULL | B: MAENAD SEATED ON STOOL, SATYR",-525 to -475,BLACK-FIGURE,,,
6563,"OV: NEREID ON HIPPOCAMP, POSEIDON, SEATED, EROTES, EUROPA AND THE BULL, ZEUS, SEATED, OCTOPUS AND FISH",-400 to -300,RED-FIGURE,,,
6722,"BD: EUROPA, BULL, HERMES, EROTES, POSEIDON (?), YOUTH, DOLPHIN, FISH",-400 to -300,RED-FIGURE,"LIBYA, CYRENAICA",21.61781634,32.54929268
8536,"EUROPA ? (WOMAN WITH SKYPHOS, RIDING BULL)",-525 to -475,BLACK-FIGURE,"ATHENS, ACROPOLIS",23.726166,37.971421
9121,"A: EUROPA, HERMES, POSEIDON",-400 to -300,RED-FIGURE,"ITALY, SPINA",12.108186,44.697575
9122,"A: EUROPA, HERMES, EROS, NEREID ON DOLPHIN",-400 to -300,RED-FIGURE,,,
10340,"A: EUROPA, ON BULL | B: DRAPED YOUTH WITH STAFF",-475 to -425,RED-FIGURE,,,
14251,"A,B: MAENAD OR EUROPA ON BULL, VINE",-525 to -475,BLACK-FIGURE,"SICILY, CANICATTINI (?)",15.066667,37.033333
14293,EUROPA OR MAENAD ON BULL,-525 to -475,BLACK-FIGURE,"RHODES, IALYSOS",28.15629,36.41451
16406,"BD: EUROPA AND THE BULL, EROTES, YOUTHS, SOME SEATED ON CLOTHES",-400 to -300,RED-FIGURE,,,
18479,A: EUROPA OR MAENAD RIDING ON BULL | B: HORSEMAN,-525 to -475,BLACK-FIGURE,,,
18567,I: EUROPA AND THE BULL,-475 to -425,RED-FIGURE,"ITALY, PESARO",12.9,43.916667
22891,"A: KOMOS, EROTIC, YOUTHS AND NAKED WOMEN, ONE WITH DRINKING HORN | B: EUROPA RIDING BULL WITH VINE AND FAN",-500 to -450,RED-FIGURE,,,
25951,"WOMAN RIDING BULL (EUROPA ?), SEA, FIGURE SWIMMING",-400 to -300,RED-FIGURE,"RUSSIA, SOUTH, KERCH, MT. MITHRIDATES",36.4701,45.3507
26197,"OV: EUROPA AND THE BULL, DRAPED MAN SEATED ON CHAIR (ZEUS ?), TRITON, NEREID RIDING HIPPOKAMP, EROTES, ONE WITH TYMPANON, ONE WITH SASH STANDING ON BOX, DOLPHINS, FISH, SASH SUSPENDED",-400 to -300,RED-FIGURE,"RUSSIA, SOUTH, TAMAN, ELTIGHEN",36.716667,45.216667
41580,"A: COCKS, INSCRIPTIONS | B: EUROPA ON THE BULL, INSCRIPTIONS",-575 to -525,BLACK-FIGURE,,,
42058,"ZEUS, SEATED ON CHAIR, EUROPA ON BULL, EROS, WOMAN, SASHES SUSPENDED",-400 to -300,RED-FIGURE,"RUSSIA, SOUTH (?)",,
